TeamName,Wins,Losses,PS/G,PA/G
Philadelphia 76ers*,50,32,110.2,106.2
Boston Celtics*,44,38,104.5,106.5
New York Knicks,40,42,108.6,108.6
Buffalo Braves,30,52,105,109.5
New York Nets,22,60,95.9,102.7
Houston Rockets*,49,33,106.4,104.8
Washington Bullets*,48,34,105.5,104.5
San Antonio Spurs*,44,38,115,114.4
Cleveland Cavaliers*,43,39,102.1,101
New Orleans Jazz,35,47,104.6,107.4
Atlanta Hawks,31,51,102.4,106.4
Denver Nuggets*,50,32,112.6,107.4
Detroit Pistons*,44,38,109.4,110.4
Chicago Bulls*,44,38,98.9,98
Kansas City Kings,40,42,107.7,106.8
Indiana Pacers,36,46,106.8,108.6
Milwaukee Bucks,30,52,108.4,111.5
Los Angeles Lakers*,53,29,106.9,104.1
Portland Trail Blazers*,49,33,111.7,106.2
Golden State Warriors*,46,36,110.9,107.7
Seattle SuperSonics,40,42,104,105.5
Phoenix Suns,34,48,104.9,104.2