TeamName,Wins,SavePercentage
Anaheim Ducks,17,0.897
Arizona Coyotes,24,0.898
Boston Bruins,35,0.912
Buffalo Sabres,15,0.896
Calgary Flames,26,0.899
Carolina Hurricanes,36,0.915
Chicago Blackhawks,24,0.903
Colorado Avalanche,39,0.907
Columbus Blue Jackets,18,0.899
Dallas Stars,23,0.903
Detroit Red Wings,19,0.906
Edmonton Oilers,35,0.91
Florida Panthers,37,0.91
Los Angeles Kings,21,0.903
Minnesota Wild,35,0.907
Montreal Canadiens,24,0.896
Nashville Predators,31,0.912
New Jersey Devils,19,0.891
New York Islanders,32,0.921
New York Rangers,27,0.907
Ottawa Senators,23,0.895
Philadelphia Flyers,24,0.88
Pittsburgh Penguins,37,0.908
San Jose Sharks,21,0.891
St Louis Blues,27,0.9
Tampa Bay Lightning,36,0.908
Toronto Maple Leafs,35,0.905
Vancouver Canucks,23,0.9
Vegas Golden Knights,40,0.92
Washington Capitals,35,0.9
Winnipeg Jets,30,0.911